date,value,numberOfEntries
"2019-06-03 16:55:00",0.0369974,2996
"2019-06-03 17:00:00",0.0510366,2997
"2019-06-03 17:05:00",0.0399885,2996
"2019-06-03 17:10:00",0.0552097,2997
"2019-06-03 17:15:00",0.0443424,2997
"2019-06-03 17:20:00",0.0397239,2998
"2019-06-03 17:25:00",0.0538158,2998
"2019-06-03 17:30:00",0.0634016,2996
"2019-06-03 17:35:00",2.42941,4387
"2019-06-03 17:40:00",3.11277,3273
"2019-06-03 17:45:00",0.734886,1534
"2019-06-03 17:50:00",3.04583,1049
"2019-06-03 17:55:00",2.48606,1523
"2019-06-03 18:00:00",1.68575,1282
"2019-06-03 18:05:00",0.0175651,805
"2019-06-03 18:10:00",0.0166426,565
"2019-06-03 18:15:00",0.0179069,232
"2019-06-03 18:20:00",0.0141736,209
"2019-06-03 18:25:00",0.0165578,382
"2019-06-03 18:30:00",0.0175101,338
"2019-06-03 18:35:00",0.0175687,305
"2019-06-03 18:40:00",0.016947,204
"2019-06-03 18:45:00",0.0191826,156
"2019-06-03 18:50:00",0.0169318,353
"2019-06-03 18:55:00",0.0160187,160
"2019-06-03 19:00:00",0.0288565,221
"2019-06-03 19:05:00",0.875164,724
"2019-06-03 19:10:00",2.09728,3924
"2019-06-03 19:15:00",3.34459,3409
"2019-06-03 19:20:00",2.66168,3272
"2019-06-03 19:25:00",3.42389,3687
"2019-06-03 19:30:00",0.593109,3268
"2019-06-03 19:35:00",0.0160801,3271
"2019-06-03 19:40:00",0.0213355,3273
"2019-06-03 19:45:00",0.179883,3789
"2019-06-03 19:50:00",0.034173,4978
"2019-06-03 19:55:00",0.0230599,4985
"2019-06-03 20:00:00",0.0243062,4992
"2019-06-03 20:05:00",0.0568049,4998
"2019-06-03 20:10:00",0.0320491,4993
"2019-06-03 20:15:00",0.0227647,4991
